strategy,R0_target,R0_low_actual,R0_high_actual,phi_transmission,contact_rate,transmission_probability,beta_l,beta_h,Eh_peak,El_peak,Ih_peak,Il_peak,Eh_final,El_final,dominance_ratio
vary_contact_rate,2.0,1.445,1.5038625,1.05,13.6,0.025,0.34,0.35700000000000004,0.0168643134271698,0.009247065269465867,0.02769936249430859,0.015186767404774053,0.008752708128053533,0.0012991103483635884,1.8237476164985653
vary_contact_rate,2.25,1.6256249999999999,1.6918453125000001,1.05,15.299999999999999,0.025,0.3825,0.401625,0.024664744351581266,0.014826041262969951,0.04005946955987327,0.024084052496093186,0.009822644574175077,0.001453913481801436,1.6636095737048737
vary_contact_rate,2.5,1.80625,1.8798281250000004,1.05,17.0,0.025,0.42500000000000004,0.4462500000000001,0.032396539441873984,0.020611158960768792,0.05194179184424737,0.033068459208157014,0.007943731082264555,0.001182071557436975,1.5717961006636179
vary_contact_rate,2.75,1.9868750000000002,2.0678109375,1.05,18.7,0.025,0.4675,0.49087500000000006,0.03990374402353486,0.026395436663822165,0.0631045890130058,0.04177058234329645,0.008282455356763195,0.001233165953071199,1.5117667641032295
vary_contact_rate,3.0,2.1675,2.2557937500000005,1.05,20.4,0.025,0.51,0.5355000000000001,0.04707893470217524,0.0320616142712746,0.07351514332599526,0.05008067779397472,0.010521571029418956,0.0015604562852791306,1.4683894003901221
vary_contact_rate,0.5,0.36125,0.3903625,1.1,3.4,0.025,0.085,0.09350000000000001,6.957718696626701e-05,6.29339468357689e-05,0.0004995004995004995,0.0004995004995004995,-4.73927847404523e-09,-1.5832972052520566e-09,1.1055571739702976
vary_contact_rate,0.75,0.541875,0.58554375,1.1,5.1,0.025,0.1275,0.14025,0.00010983550808224366,9.87183876118149e-05,0.0004995004995004995,0.0004995004995004995,-3.1023497440541824e-09,-1.2761381467857397e-10,1.1126133588486848
vary_contact_rate,1.0,0.7225,0.780725,1.1,6.8,0.025,0.17,0.18700000000000003,0.00015531299185563715,0.00013828792451923963,0.0004995004995004995,0.0004995004995004995,4.634162807560957e-09,2.0037401370927342e-10,1.12311237647356
vary_contact_rate,1.25,0.903125,0.9759062500000001,1.1,8.5,0.025,0.21250000000000002,0.23375000000000004,0.0002130240128670334,0.00018550956016570672,0.0004995004995004995,0.0004995004995004995,5.608892581337075e-05,1.7489198469047475e-06,1.1483176276467189
vary_contact_rate,1.5,1.08375,1.1710875,1.1,10.2,0.025,0.255,0.2805,0.005080092803628904,0.0006501883812771888,0.008454991444024538,0.0010820147209139011,0.0033443029970827926,8.846910536614171e-05,7.8132617693409365
