phi_transmission,kappa_scale,Eh_peak,El_peak
0.865,2.85,0.00019793121064331384,0.001311791989400924
0.865,3.0,0.00019845093736258656,0.0013042510294599887
0.88,0.0,0.00019532848172677488,0.00137797323496239
0.88,0.15,0.00019565817706341021,0.0013751671246421083
0.88,0.3,0.00019598824830599284,0.0013722140085067598
0.88,0.44999999999999996,0.00019631869577434026,0.0013690818494912639
0.88,0.6,0.00019664951978848512,0.0013657791561507457
0.88,0.75,0.00019698072066867518,0.001362287478788026
0.88,0.8999999999999999,0.00019731229873537424,0.0013585959357572718
0.88,1.05,0.0001977090798886323,0.0013546854174581082
0.88,1.2,0.00019811040027809676,0.0013505453908700723
0.88,1.3499999999999999,0.00019851228401751464,0.001346160681473399
0.88,1.5,0.0001989147317032175,0.001341512216445646
0.88,1.65,0.0001993177439320395,0.0013365862664855884
0.88,1.7999999999999998,0.00019972132130131675,0.0013313576159763392
0.88,1.95,0.000200125464408888,0.0013258116288660622
0.88,2.1,0.00020057642206716637,0.001319924257147169
0.88,2.25,0.00020105318965965837,0.00131366956204785
0.88,2.4,0.00020153075926955516,0.0013070323176993016
0.88,2.55,0.0002020091319254238,0.0012999884355306497
0.88,2.6999999999999997,0.00020252815632665187,0.001292488462429122
0.88,2.85,0.0002030813802510018,0.0012845358961653852
0.88,3.0,0.00020364940712372227,0.0012760756480759171
0.895,0.0,0.00020045990807799323,0.0013593610204644514
0.895,0.15,0.00020077362343472047,0.0013559732805648744
0.895,0.3,0.00020113643776038185,0.0013524011845772266
0.895,0.44999999999999996,0.00020149970540648128,0.0013486423123275086
0.895,0.6,0.00020186342680009037,0.0013446860875154555
0.895,0.75,0.000202227602368601,0.0013405199495719713
0.895,0.8999999999999999,0.00020259223253972432,0.0013361322723548482
0.895,1.05,0.00020295731774149252,0.0013315084976416394
0.895,1.2,0.000203322858402259,0.001326633754809852
0.895,1.3499999999999999,0.00020369020793901813,0.0013214981979338852
0.895,1.5,0.00020412121977859084,0.0013160804712887971
0.895,1.65,0.0002045528769633508,0.001310367777720578
0.895,1.7999999999999998,0.0002049851802298813,0.0013043376913471892
0.895,1.95,0.0002054181303154384,0.0012979855540035644
0.895,2.1,0.00020587881790236698,0.0012912687030675852
0.895,2.25,0.00020637929142150007,0.0012841879406894805
0.895,2.4,0.0002068806444720878,0.0012767119313796438
0.895,2.55,0.000207433718821775,0.0012688280324724766
0.895,2.6999999999999997,0.00020801832497287822,0.001260512539856567
0.895,2.85,0.00020867920264773757,0.001251730103069131
0.895,3.0,0.0002094823115436819,0.0012424600021460675
0.9099999999999999,0.0,0.00020599644944760761,0.0013340652604386773
0.9099999999999999,0.15,0.00020631993646032552,0.0013299844622417058
0.9099999999999999,0.3,0.0002066437751571449,0.0013257137205944752
0.9099999999999999,0.44999999999999996,0.00020696796582651266,0.001321248233982704
0.9099999999999999,0.6,0.00020732733437855625,0.0013165657246398854
0.9099999999999999,0.75,0.00020770950971946825,0.0013116547997214917
0.9099999999999999,0.8999999999999999,0.00020809218362983443,0.0013065172393018662
0.9099999999999999,1.05,0.00020847535660549176,0.0013011359690177859
0.9099999999999999,1.2,0.00020885902914267163,0.0012955055197761813
0.9099999999999999,1.3499999999999999,0.0002092618119739579,0.0012895972049522919
0.9099999999999999,1.5,0.0002097051287152903,0.0012833990925764666
0.9099999999999999,1.65,0.00021014912441139294,0.0012769205301855228
0.9099999999999999,1.7999999999999998,0.00021061003722787016,0.0012701157959162748
0.9099999999999999,1.95,0.00021111499025962762,0.001262991747011167
0.9099999999999999,2.1,0.00021165058790352436,0.0012555357513243364
0.9099999999999999,2.25,0.00021224576078243007,0.0012477154965753181
0.9099999999999999,2.4,0.0002129608010864118,0.0012395210137633
0.9099999999999999,2.55,0.0002141752225153485,0.0012309365363339278
0.9099999999999999,2.6999999999999997,0.00021641461478291282,0.0012219555930911377
0.9099999999999999,2.85,0.00021977029729056566,0.001212564304932564
0.9099999999999999,3.0,0.00022429332296937778,0.0012027070125882285
0.9249999999999999,0.0,0.0002118774014459195,0.0012992042936467627
0.9249999999999999,0.15,0.0002122076804716171,0.0012944057469329803
0.9249999999999999,0.3,0.00021253832411534596,0.0012894029624223725
0.9249999999999999,0.44999999999999996,0.00021291521694809883,0.0012842092664052916
0.9249999999999999,0.6,0.00021329714116659723,0.00127879952601634
0.9249999999999999,0.75,0.00021367956073787972,0.0012731730256888244
0.9249999999999999,0.8999999999999999,0.00021407858809081092,0.0012673175906035823
0.9249999999999999,1.05,0.00021451329838628695,0.0012612266813284818
0.9249999999999999,1.2,0.00021495977688971792,0.0012548887374598486
0.9249999999999999,1.3499999999999999,0.00021544762870368526,0.001248299309918393
0.9249999999999999,1.5,0.00021600154207205565,0.001241454064710519
