time,Eh,El,param_name,param_value,R0_low,R0_high,R0_target,kappa_high,kappa_low
266.7307692307692,3.580969824618461e-06,1.0131490721418065e-06,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
267.7335164835165,3.5272420512858224e-06,9.932640406356263e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
268.7362637362637,3.4744046575548303e-06,9.738197421181043e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
269.739010989011,3.4224032792447597e-06,9.547817341524009e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
270.74175824175825,3.3711566790389132e-06,9.360979849183164e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
271.7445054945055,3.320712388956865e-06,9.178007465148273e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
272.74725274725273,3.271052725093633e-06,8.998795849956647e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
273.75,3.2221600035442277e-06,8.823240664145567e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
274.75274725274727,3.174016540403667e-06,8.651237568252343e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
275.7554945054945,3.1266046517669687e-06,8.482682222814287e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
276.75824175824175,3.0799066537291436e-06,8.317470288368682e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
277.760989010989,3.0339422613434284e-06,8.155669688923112e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
278.76373626373623,2.9886923542704736e-06,7.997169468649598e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
279.7664835164835,2.9441266406995344e-06,7.841807214767296e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
280.7692307692308,2.900229935045559e-06,7.689490095333553e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
281.77197802197804,2.8569870517234933e-06,7.540125278405707e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
282.77472527472526,2.814382805148285e-06,7.393619932041102e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
283.7774725274725,2.772402009734875e-06,7.24988122429706e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
284.7802197802198,2.7310294798982116e-06,7.108816323230926e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
285.782967032967,2.690333370179219e-06,6.970854616166185e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
286.7857142857143,2.6502462773190046e-06,6.835576068927268e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
287.78846153846155,2.6107561906698033e-06,6.702907744110921e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
288.79120879120876,2.5718514709171133e-06,6.572779031132841e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
289.79395604395603,2.533520478746426e-06,6.445119319408703e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
290.7967032967033,2.495751574843241e-06,6.319857998354203e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
291.79945054945057,2.4585331198930537e-06,6.196924457385031e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
292.8021978021978,2.421909635503878e-06,6.076659858296346e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
293.80494505494505,2.385805109250523e-06,5.958521606288254e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
294.8076923076923,2.350245094729334e-06,5.842711789526977e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
295.81043956043953,2.3152185422719154e-06,5.729164120718664e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
296.8131868131868,2.2807147265599103e-06,5.617814690706839e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
297.8159340659341,2.2467232466250128e-06,5.508601968472435e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
298.81868131868134,2.2132340258489603e-06,5.401466801133766e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
299.82142857142856,2.180237311963536e-06,5.296352413946545e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
300.8241758241758,2.1477387846397672e-06,5.193318460994505e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
301.8269230769231,2.1157297842522197e-06,5.092316275234365e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
302.8296703296703,2.0841958191119473e-06,4.993253091568141e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
303.8324175824176,2.0531298611614827e-06,4.896092419124648e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
304.83516483516485,2.0225252895945424e-06,4.800800771009975e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
305.83791208791206,1.9923758908560214e-06,4.7073476643074607e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
306.84065934065933,1.9626758586419876e-06,4.615705620077686e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
307.8434065934066,1.933419793899693e-06,4.525850163358499e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
308.84615384615387,1.9046027048275667e-06,4.4377598231649953e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
309.8489010989011,1.8762200068752174e-06,4.3514161324895314e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
310.85164835164835,1.8482477543357263e-06,4.2666443071908874e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
311.8543956043956,1.8206787083547334e-06,4.1834039317874e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
312.85714285714283,1.7935188398926932e-06,4.101760775500717e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
313.8598901098901,1.7667631694048012e-06,4.0216920750540226e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
314.8626373626374,1.7404070066794321e-06,3.943177120801766e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
315.8653846153846,1.7144459508381375e-06,3.86619725672965e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
316.86813186813185,1.6888758903356392e-06,3.790735880454617e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
317.8708791208791,1.6636930029598396e-06,3.716778443224876e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
318.8736263736264,1.6388937558318154e-06,3.6443124499198834e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
319.8763736263736,1.61447490540582e-06,3.573327459050353e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
320.8791208791209,1.590411097854631e-06,3.503653845998216e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
321.88186813186815,1.566691912046996e-06,3.435229445535172e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
322.88461538461536,1.5433280103552288e-06,3.368143826525826e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
323.8873626373626,1.5203148049441285e-06,3.302376754845626e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
324.8901098901099,1.4976478511712564e-06,3.237908998054287e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
325.89285714285717,1.475322847586929e-06,3.1747223253957676e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
326.8956043956044,1.4533356359342237e-06,3.1127995077982813e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
327.89835164835165,1.4316822011489703e-06,3.052124317874283e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
328.9010989010989,1.4103586713597613e-06,2.992681529920486e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
329.90384615384613,1.3893613178879465e-06,2.9344569199178575e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
330.9065934065934,1.368675095884742e-06,2.87734473921091e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
331.90934065934067,1.3482902759388872e-06,2.8212820030783907e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
332.9120879120879,1.3282117208581447e-06,2.766323394239602e-07,sigma,1.0,0.85,0.8846250000000001,1.0,1.05,1.0
